Date : 2024-05-22 09:49:03
Directory : c:\xampp\htdocs\P002_PCTOProject
Total : 76 files,  15422 codes, 4600 comments, 1586 blanks, all 21608 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\image.php                | PHP      |        397 |        187 |         37 |        621 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\log.php                  | PHP      |         29 |         35 |          8 |         72 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\magic.php                | PHP      |         46 |         82 |         16 |        144 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\markdown.php             | PHP      |        410 |        136 |         24 |        570 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\matrix.php               | PHP      |         61 |         68 |         11 |        140 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\session.php              | PHP      |        112 |         94 |         20 |        226 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\smtp.php                 | PHP      |        243 |        105 |         16 |        364 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\template.php             | PHP      |        211 |        120 |         23 |        354 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\test.php                 | PHP      |         39 |         49 |         11 |         99 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\utf.php                  | PHP      |         78 |        104 |         18 |        200 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\web.php                  | PHP      |        823 |        171 |         26 |      1,020 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\web\geo.php              | PHP      |         67 |         37 |          8 |        112 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\web\google\recaptcha.php | PHP      |         25 |         27 |          7 |         59 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\web\google\staticmap.php | PHP      |         25 |         32 |          9 |         66 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\web\oauth2.php           | PHP      |         78 |         70 |         16 |        164 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\web\openid.php           | PHP      |        158 |         76 |         15 |        249 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\web\pingback.php         | PHP      |        107 |         59 |         11 |        177 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\composer\ClassLoader.php                     | PHP      |        286 |        235 |         59 |        580 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\composer\InstalledVersions.php               | PHP      |        178 |        133 |         49 |        360 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\composer\autoload_classmap.php               | PHP      |         47 |          1 |          4 |         52 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\composer\autoload_namespaces.php             | PHP      |          5 |          1 |          4 |         10 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\composer\autoload_psr4.php                   | PHP      |          5 |          1 |          4 |         10 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\composer\autoload_real.php                   | PHP      |         25 |          4 |         10 |         39 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\composer\autoload_static.php                 | PHP      |         55 |          1 |          6 |         62 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\composer\installed.json                      | JSON     |         44 |          0 |          1 |         45 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\composer\installed.php                       | PHP      |         32 |          0 |          1 |         33 |
| c:\xampp\htdocs\P002_PCTOProject\vendor\composer\platform_check.php                  | PHP      |         21 |          1 |          5 |         27 |
| c:\xampp\htdocs\P002_PCTOProject\view\home.php                                       | PHP      |         40 |          0 |          3 |         43 |
| Total                                                                                |          |     15,422 |      4,600 |      1,586 |     21,608 |
+--------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
